0,3861.9,3861.9
0,3862.6,3862.6
0,3864.0,3864.0
2,3768.4,3768.4
2,3769.2,3769.2
2,3761.8,3761.8
4,3629.2,3629.2
4,3623.8,3623.8
4,3624.2,3624.2
6,3392.6,3392.6
6,3401.4,3401.4
6,3396.8,3396.8
8,3378.2,3378.2
8,3337.4,3337.4
8,3368.4,3368.41
10,3200.0,3200.0
10,3265.4,3265.4
10,3278.0,3278.0
12,3054.6,3054.6
12,3075.4,3075.4
12,3085.2,3085.2
14,2992.4,2992.4
14,3039.0,3039.0
14,3053.0,3053.0
16,2830.8,2830.8
16,2860.2,2860.2
16,2884.2,2884.2
18,2729.2,2729.2
18,2737.6,2737.6
18,2746.8,2746.8
20,2613.8,2613.8
20,2619.8,2619.8
20,2629.4,2629.4
22,2488.4,2488.4
22,2501.0,2501.0
22,2519.4,2519.4
24,2295.6,2295.6
24,2442.8,2442.8
24,2489.6,2489.6
26,2244.8,2244.8
26,2297.4,2297.4
26,2339.2,2339.2
28,2078.8,2078.8
28,2115.6,2115.6
28,2150.8,2150.8
30,1924.8,1924.8
30,2065.4,2065.4
30,2120.4,2120.4
32,1879.6,1879.6
32,1903.8,1903.8
32,1925.8,1925.8
34,1757.0,1757.0
34,1782.4,1782.4
34,1803.4,1803.4
36,1682.4,1682.4
36,1718.6,1718.6
36,1739.6,1739.6
38,1476.2,1476.2
38,1493.8,1493.8
38,1515.6,1515.6
40,1365.8,1365.8
40,1381.6,1381.6
40,1394.6,1394.6
42,1330.4,1330.4
42,1380.4,1380.4
42,1414.0,1414.0
44,1173.8,1173.8
44,1204.8,1204.8
44,1237.0,1237.0
46,1078.4,1078.4
46,1092.2,1092.2
46,1114.0,1114.0
48,938.0,938.0
48,954.2,954.2
48,970.4,970.4
50,831.2,831.2
50,854.0,854.0
50,889.6,889.6
